id,sequencia,quantidade,vlrUnitLiq,codProdutoPdv,codTipoProdutoPdv,descricao,codUnidade,obsItem,extras,codPedido_id
117810,1,1,3.99,265,FIXED,Agrião (Maço),unid,,,13546815
117811,2,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13546815
117812,3,1,4.25,281,FIXED,Espinafre (Maço),unid,,,13546815
117813,4,1,5.38,290,FIXED,Pepino Japonês (Kg),unid,,,13546815
117814,5,1,6.38,299,FIXED,Tomate Molho (Kg),unid,,,13546815
114819,1,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13505373
114820,2,2,3.75,246,FIXED,Brócolis Ninja (Uni),unid,,,13505373
114821,3,1,2.8,15,FIXED,Abobrinha Itália Pequena (Kg),unid,,,13505373
114822,4,1,2.99,9038,FIXED,Pepino Comum (Kg),unid,,,13505373
114823,5,2,6.38,299,FIXED,Tomate Molho (Kg),unid,,,13505373
114824,6,1,5.49,323,FIXED,Tomate Salada Médio (Kg),unid,,,13505373
114825,7,1,5.89,270,FIXED,Banana Nanica (Kg),unid,,,13505373
114826,8,1,4.6,283,FIXED,Limão Tahiti (Kg),unid,,,13505373
114827,9,1,5.2,287,FIXED,Maracujá (Kg),unid,,,13505373
114828,10,1,7.5,303,FIXED,Melão Amarelo (Uni),unid,,,13505373
114829,11,2,4.99,288,FIXED,Morango (Bdj),unid,,,13505373
114830,12,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13505373
114831,13,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13505373
114832,14,1,17.5,9053,FIXED,Alho com casca (500g),unid,,,13505373
114833,15,1,6.25,9080,FIXED,Sálvia (Maço 100g),unid,,,13505373
117815,6,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13546815
117816,7,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13546815
117817,8,1,2.5,285,FIXED,Mamão Papaya (Uni),unid,,,13546815
117818,9,1,2.17,545,FIXED,Manga Palmer (Uni),unid,,,13546815
117819,10,1,9.99,8084,FIXED,Cogumelo Shimeji Preto (200g),unid,,,13546815
121658,7,1,2.11,281,FIXED,Espinafre (Maço),unid,,,13588679
121659,8,1,2.4,296,FIXED,Rúcula (Maço),unid,,,13588679
121660,9,1,7.5,291,FIXED,Pimentão Amarelo (500g),unid,,,13588679
121661,10,1,7.5,293,FIXED,Pimentão Vermelho (500g),unid,,,13588679
121662,11,5,4.16,260,FIXED,Tomate Salada Graúdo (Kg),unid,Metade maduro ,,13588679
121663,12,1,2.73,270,FIXED,Banana Nanica (Kg),unid,,,13588679
121664,13,2,1.39,487,FIXED,Laranja Pera (Kg),unid,,,13588679
117845,1,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13546964
117846,2,1,1.75,268,FIXED,Alho Poró (Uni),unid,,,13546964
121665,14,1,5.32,328,FIXED,Limão Siciliano (Kg),unid,,,13588679
117847,3,1,4.68,2008,FIXED,Rúcula Higienizada (180g),unid,,,13546964
117848,4,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13546964
117849,5,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13546964
117850,6,2,2.5,285,FIXED,Mamão Papaya (Uni),unid,,,13546964
117851,7,1,4.99,288,FIXED,Morango (Bdj),unid,,,13546964
117852,8,1,1.5,9083,FIXED,Batata Doce Graúda (Kg),unid,,,13546964
117853,9,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13546964
117854,10,1,3.79,276,FIXED,Cebola Graúda (Kg),unid,,,13546964
117855,11,1,14.19,289,FIXED,Ovo (Bdj com 30 ovos),unid,,,13546964
117856,12,1,9.99,8084,FIXED,Cogumelo Shimeji Preto (200g),unid,,,13546964
115042,1,1,5,233,FIXED,Salsão (Uni),unid,,,13507318
115043,2,5,1.6,9074,FIXED,Alface Americana (Uni),unid,,,13507318
115044,3,1,2.22,290,FIXED,Pepino Japonês (Kg),unid,,,13507318
115045,4,6,2.93,323,FIXED,Tomate Salada Médio (Kg),unid,,,13507318
115046,5,1,2.8,308,FIXED,Abacate Comum (Uni),unid,,,13507318
115047,6,1,3.2,327,FIXED,Abacaxi Pérola (Uni),unid,,,13507318
115048,7,1,2.73,270,FIXED,Banana Nanica (Kg),unid,,,13507318
115049,8,12,1.39,487,FIXED,Laranja Pera (Kg),unid,,,13507318
115050,9,4,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13507318
115051,10,3,4.5,287,FIXED,Maracujá (Kg),unid,,,13507318
115052,11,20,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13507318
115053,12,5,2.1,322,FIXED,Cebola Média (Kg),unid,,,13507318
115054,13,5,0.68,277,FIXED,Cenoura Toco (Kg),unid,,,13507318
115055,14,3,7.88,289,FIXED,Ovo (Bdj com 30 ovos),unid,,,13507318
115056,15,1,5,8082,FIXED,Shimeji Branco,unid,,,13507318
115057,16,1,8.37,8083,FIXED,Shimeji Cinza,unid,,,13507318
115058,17,1,7.3,8084,FIXED,Shimeji Preto,unid,,,13507318
115101,1,6,1.86,348,FIXED,Abobrinha Itália Graúda (Kg),unid,,,13507652
115102,2,6,2.22,290,FIXED,Pepino Japonês (Kg),unid,,,13507652
115103,3,8,2.93,323,FIXED,Tomate Salada Médio (Kg),unid,,,13507652
115104,4,2,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13507652
115105,5,10,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13507652
115106,6,3,0.96,273,FIXED,Batata Doce Rosada Média (Kg),unid,,,13507652
115107,7,2,2.1,322,FIXED,Cebola Média (Kg),unid,,,13507652
115108,8,8,1.88,316,FIXED,Cenoura Graúda (Kg),unid,,,13507652
121666,15,2,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13588679
121667,16,1,4.43,9078,FIXED,Maça Fuji Pequena (Kg),unid,,,13588679
121668,17,2,3.5,288,FIXED,Morango (Bdj),unid,,,13588679
121669,18,2,2.1,322,FIXED,Cebola Média (Kg),unid,,,13588679
121670,19,1,1.88,316,FIXED,Cenoura Graúda (Kg),unid,,,13588679
121671,20,2,5.6,8092,FIXED,Champignon,unid,,,13588679
121672,21,3,7.3,8084,FIXED,Shimeji Preto,unid,,,13588679
121673,22,1,8.66,8088,FIXED,Shitake Inteiro,unid,,,13588679
121674,1,4,1.6,9074,FIXED,Alface Americana (Uni),unid,,,13588708
115235,1,1,2,9075,FIXED,Alface lisa  (Uni),unid,,,13508548
115236,2,1,3.75,246,FIXED,Brócolis Ninja (Uni),unid,,,13508548
115237,3,1,6.69,247,FIXED,Couve Flor (Uni),unid,,,13508548
115238,4,1,1.89,9076,FIXED,Escarola (Uni),unid,,,13508548
115239,5,1,4.68,2008,FIXED,Rúcula Higienizada (180g),unid,,,13508548
115240,6,1,2.65,292,FIXED,Pimentão Verde (500g),unid,,,13508548
115241,7,1,5.49,323,FIXED,Tomate Salada Médio (Kg),unid,,,13508548
115242,8,1,4.19,327,FIXED,Abacaxi Pérola (Uni),unid,,,13508548
115243,9,1,2.76,487,FIXED,Laranja Pera (Kg),unid,,,13508548
115244,10,1,4.6,283,FIXED,Limão Tahiti (Kg),unid,,,13508548
115245,11,1,4.99,288,FIXED,Morango (Bdj),unid,,,13508548
115246,12,1,1.5,273,FIXED,Batata Doce Rosada Média (Kg),unid,,,13508548
115247,13,1,2.99,322,FIXED,Cebola Média (Kg),unid,,,13508548
115248,14,2,5.99,8082,FIXED,Cogumelo Shimeji Branco Band (200g),unid,,,13508548
115291,1,1,2.22,290,FIXED,Pepino Japonês (Kg),unid,,,13508605
115292,2,2,3.2,327,FIXED,Abacaxi Pérola (Uni),unid,,,13508605
115293,3,2,2.73,270,FIXED,Banana Nanica (Kg),unid,,,13508605
115294,4,4,1.35,545,FIXED,Manga Palmer (Uni),unid,,,13508605
115295,5,3,3.5,288,FIXED,Morango (Bdj),unid,,,13508605
115296,6,1,1.88,316,FIXED,Cenoura Graúda (Kg),unid,,,13508605
115297,7,1,5,2020,FIXED,Salada Mix Higienizada (180g),unid,,,13508605
121675,2,3,1.28,9075,FIXED,Alface lisa  (Uni),unid,,,13588708
121676,3,1,2.4,296,FIXED,Rúcula (Maço),unid,,,13588708
121677,4,1,1.86,348,FIXED,Abobrinha Itália Graúda (Kg),unid,,,13588708
121678,5,2,2.93,323,FIXED,Tomate Salada Médio (Kg),unid,,,13588708
121679,6,1,2.1,322,FIXED,Cebola Média (Kg),unid,,,13588708
121680,7,1,1.88,316,FIXED,Cenoura Graúda (Kg),unid,,,13588708
122933,6,1,5.49,323,FIXED,Tomate Salada Médio (Kg),unid,,,13604430
122934,7,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13604430
122935,8,2,1.5,9083,FIXED,Batata Doce Graúda (Kg),unid,,,13604430
122936,9,2,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13604430
122937,10,1,3.79,276,FIXED,Cebola Graúda (Kg),unid,,,13604430
122938,11,1,2.99,322,FIXED,Cebola Média (Kg),unid,,,13604430
115382,1,6,1.28,2024,FIXED,Salsinha Maço (250g),unid,,,13509062
115383,2,10,1.6,9074,FIXED,Alface Americana (Uni),unid,,,13509062
115384,3,10,1.28,9075,FIXED,Alface lisa  (Uni),unid,,,13509062
115385,4,2,1.86,348,FIXED,Abobrinha Itália Graúda (Kg),unid,,,13509062
115386,5,5,1.87,26,FIXED,Chuchu (Kg),unid,,,13509062
115387,6,8,2.15,9038,FIXED,Pepino Comum (Kg),unid,,,13509062
115388,7,12,2.93,323,FIXED,Tomate Salada Médio (Kg),unid,,,13509062
115389,8,2,10,300,FIXED,Vagem (Kg),unid,,,13509062
115390,9,5,3.2,327,FIXED,Abacaxi Pérola (Uni),unid,,,13509062
115391,10,6,2.73,270,FIXED,Banana Nanica (Kg),unid,,,13509062
115392,11,28,1.39,487,FIXED,Laranja Pera (Kg),unid,,,13509062
115393,12,10,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13509062
115394,13,3,1.35,285,FIXED,Mamão Papaya (Uni),unid,,,13509062
115395,14,1,4.5,287,FIXED,Maracujá (Kg),unid,,,13509062
115396,15,1,20,34,FIXED,Melancia (Uni),unid,,,13509062
115397,16,1,4.8,303,FIXED,Melão Amarelo (Uni),unid,,,13509062
115398,17,1,3.5,288,FIXED,Morango (Bdj),unid,,,13509062
115399,18,12,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13509062
115400,19,10,2.18,22,FIXED,Beterraba (Kg),unid,,,13509062
115401,20,12,2.1,322,FIXED,Cebola Média (Kg),unid,,,13509062
115402,21,8,0.68,277,FIXED,Cenoura Toco (Kg),unid,,,13509062
115403,22,6,7.88,289,FIXED,Ovo (Bdj com 30 ovos),unid,,,13509062
123984,26,1,2.2,21,FIXED,Batata Lavada (Kg),unid,,,13652446
115642,1,1,3.2,9052,FIXED,Alecrim Maço (250g),unid,,,13510048
115643,2,1,2.5,2025,FIXED,Cebolinha (250g),unid,,,13510048
115644,3,1,1.28,2024,FIXED,Salsinha Maço (250g),unid,,,13510048
115645,4,2,1.6,9074,FIXED,Alface Americana (Uni),unid,,,13510048
115646,5,2,2.77,274,FIXED,Berinjela (Kg),unid,,,13510048
115647,6,10,4.16,299,FIXED,Tomate Molho (Kg),unid,,,13510048
115648,7,2,3.2,327,FIXED,Abacaxi Pérola (Uni),unid,,,13510048
115649,8,3,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13510048
115650,9,6,1.35,545,FIXED,Manga Palmer (Uni),unid,,,13510048
115651,10,10,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13510048
115690,1,2,1.28,2024,FIXED,Salsinha Maço (250g),unid,,,13510163
115691,2,2,1.86,348,FIXED,Abobrinha Itália Graúda (Kg),unid,,,13510163
115692,3,1,1.87,26,FIXED,Chuchu (Kg),unid,,,13510163
115693,4,2,2.22,290,FIXED,Pepino Japonês (Kg),unid,,,13510163
115694,5,10,4.16,299,FIXED,Tomate Molho (Kg),unid,,,13510163
115695,6,8,2.93,323,FIXED,Tomate Salada Médio (Kg),unid,,,13510163
115696,7,2,3,271,FIXED,Banana Prata (Kg),unid,,,13510163
115697,8,5,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13510163
115698,9,15,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13510163
115699,10,10,2.1,322,FIXED,Cebola Média (Kg),unid,,,13510163
115700,11,3,7.88,289,FIXED,Ovo (Bdj com 30 ovos),unid,,,13510163
115701,1,1,2,9075,FIXED,Alface lisa  (Uni),unid,,,13510219
115702,2,2,3.75,246,FIXED,Brócolis Ninja (Uni),unid,,,13510219
115703,3,1,1.89,9076,FIXED,Escarola (Uni),unid,,,13510219
115704,4,1,2.99,274,FIXED,Berinjela (Kg),unid,,,13510219
115705,5,1,12.5,486,FIXED,Tomate Grape (Kg),unid,,,13510219
115706,6,1,5.49,323,FIXED,Tomate Salada Médio (Kg),unid,,,13510219
115707,7,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13510219
115708,8,1,4.19,327,FIXED,Abacaxi Pérola (Uni),unid,,,13510219
115709,9,1,6.99,9078,FIXED,Maça Fuji Pequena (Kg),unid,,,13510219
115710,10,1,2.5,317,FIXED,Pêra Portuguesa (Uni),unid,,,13510219
115711,11,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13510219
115712,12,1,1.5,9083,FIXED,Batata Doce Graúda (Kg),unid,,,13510219
115713,13,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13510219
115714,14,2,3.39,316,FIXED,Cenoura Graúda (Kg),unid,,,13510219
115715,15,1,3.68,2025,FIXED,Cebolinha (250g),unid,,,13510219
115716,16,1,7.99,8092,FIXED,Champignon Fresco (200g),unid,,,13510219
115717,17,1,5.99,8082,FIXED,Cogumelo Shimeji Branco Band (200g),unid,,,13510219
115718,18,1,17.3,9046,FIXED,Geleia de amora com açúcar cristal (220g),unid,,,13510219
122939,12,1,3.39,316,FIXED,Cenoura Graúda (Kg),unid,Enviar cenouras pequenas,,13604430
122940,13,1,2,295,FIXED,Rabanete (500g),unid,,,13604430
122941,14,1,2,2024,FIXED,Salsinha (250g),unid,,,13604430
123985,27,6,2.2,21,FIXED,Batata Lavada (Kg),unid,,,13652446
121695,1,4,2.5,2025,FIXED,Cebolinha (250g),unid,,,13588787
121696,2,4,2,220,FIXED,Repolho Verde (Uni),unid,,,13588787
121697,3,6,2.22,290,FIXED,Pepino Japonês (Kg),unid,,,13588787
121698,4,1,2.8,308,FIXED,Abacate Comum (Uni),unid,,,13588787
121699,5,5,1.39,487,FIXED,Laranja Pera (Kg),unid,,,13588787
121700,6,2,4.2,283,FIXED,Limão Tahiti (Kg),unid,,,13588787
121701,7,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13588787
121702,8,6,1.88,316,FIXED,Cenoura Graúda (Kg),unid,,,13588787
121703,9,2,4,223,FIXED,Gengibre (500g),unid,,,13588787
122942,15,2,10.85,8083,FIXED,Cogumelo Shimeji Cinza (200g),unid,,,13604430
123537,1,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13630618
123538,2,1,2.29,280,FIXED,Couve (Maço),unid,,,13630618
123539,3,1,5.99,247,FIXED,Couve Flor (Uni),unid,,,13630618
123540,4,1,3.9,219,FIXED,Repolho Roxo (Uni),unid,,,13630618
122943,1,30,2.97,351,FIXED,Batata Asterix Especial (Kg),unid,,,13604562
123541,5,1,5.38,290,FIXED,Pepino Japonês (Kg),unid,,,13630618
123542,6,2,5.49,323,FIXED,Tomate Salada Médio (Kg),unid,,,13630618
123543,7,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13630618
123544,8,2,2.75,322,FIXED,Cebola Média (Kg),unid,,,13630618
123545,9,1,2.89,316,FIXED,Cenoura Graúda (Kg),unid,,,13630618
123546,10,1,3,251,FIXED,Louro (75g),unid,,,13630618
123547,11,1,2.99,215,FIXED,Manjericão (150g),unid,,,13630618
123548,12,1,2,2024,FIXED,Salsinha (250g),unid,,,13630618
123986,28,1,2.2,21,FIXED,Batata Lavada (Kg),unid,,,13652446
123987,29,3,0.96,9083,FIXED,Batata Doce Graúda (Kg),unid,,,13652446
123988,30,3,2.4,22,FIXED,Beterraba (Kg),unid,,,13652446
118395,1,1,4.68,2002,FIXED,Alface Americana Higienizada (180g),unid,,,13559161
118396,2,1,2.5,9034,FIXED,Cebolinha Picada (80 g),unid,,,13559161
118397,3,1,7,540,FIXED,Abóbora Moranga (Uni),unid,,,13559161
118398,4,1,2.09,348,FIXED,Abobrinha Itália Graúda (Kg),unid,,,13559161
118399,5,1,7.5,291,FIXED,Pimentão Amarelo (500g),unid,,,13559161
118400,6,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13559161
118401,7,1,4.6,283,FIXED,Limão Tahiti (Kg),unid,,,13559161
118402,8,1,4.99,288,FIXED,Morango (Bdj),unid,,,13559161
118403,9,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13559161
118404,10,1,1.5,273,FIXED,Batata Doce Rosada Média (Kg),unid,,,13559161
118405,11,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13559161
118406,12,1,2.99,322,FIXED,Cebola Média (Kg),unid,,,13559161
118407,13,1,3.39,316,FIXED,Cenoura Graúda (Kg),unid,,,13559161
118408,14,1,7.99,8092,FIXED,Champignon Fresco (200g),unid,,,13559161
118409,15,1,5.99,8082,FIXED,Cogumelo Shimeji Branco Band (200g),unid,,,13559161
120896,1,1,1.28,2024,FIXED,Salsinha Maço (250g),unid,,,13575816
120897,2,1,4,9080,FIXED,Sálvia (Maço 100g),unid,,,13575816
120898,3,1,1.12,268,FIXED,Alho Poró (Uni),unid,,,13575816
120899,4,1,1.89,280,FIXED,Couve (Maço),unid,,,13575816
120900,5,1,2.4,296,FIXED,Rúcula (Maço),unid,,,13575816
120901,6,1,6.72,1011,FIXED,Mix de folhas de alface (500g),unid,,,13575816
120902,7,1,7.2,9081,FIXED,Tomate Holandês (Kg),unid,,,13575816
120903,8,1,2.93,323,FIXED,Tomate Salada Médio (Kg),unid,,,13575816
120904,9,1,2.8,308,FIXED,Abacate Comum (Uni),unid,,,13575816
120905,10,1,3.2,327,FIXED,Abacaxi Pérola (Uni),unid,,,13575816
120906,11,1,2.73,270,FIXED,Banana Nanica (Kg),unid,,,13575816
120907,12,1,1.39,487,FIXED,Laranja Pera (Kg),unid,,,13575816
120908,13,3,0.83,65,FIXED,Maçã Fuji (Uni),unid,,,13575816
120909,14,2,1.35,545,FIXED,Manga Palmer (Uni),unid,,,13575816
120910,15,1,1.1,232,FIXED,Manga Tommy (Uni),unid,,,13575816
120911,16,1,4.5,287,FIXED,Maracujá (Kg),unid,,,13575816
116032,1,2,3.2,327,FIXED,Abacaxi Pérola (Uni),unid,,,13511586
116033,2,2,5.32,328,FIXED,Limão Siciliano (Kg),unid,,,13511586
116034,3,16,4.43,9078,FIXED,Maça Fuji Pequena (Kg),unid,,,13511586
116035,4,20,0.68,277,FIXED,Cenoura Toco (Kg),unid,,,13511586
116036,5,20,0.68,277,FIXED,Cenoura Toco (Kg),unid,,,13511586
120912,17,1,20,34,FIXED,Melancia (Uni),unid,,,13575816
120913,18,2,2.5,317,FIXED,Pêra Portuguesa (Uni),unid,,,13575816
120914,19,1,2.52,302,FIXED,Batata Asterix (Kg),unid,,,13575816
120915,20,1,1.8,272,FIXED,Batata Bolinha (Kg),unid,,,13575816
120916,21,1,2.18,22,FIXED,Beterraba (Kg),unid,,,13575816
120917,22,1,2.1,322,FIXED,Cebola Média (Kg),unid,,,13575816
120918,23,2,5.3,340,FIXED,Mandioquinha (Kg),unid,,,13575816
120919,24,1,7.88,289,FIXED,Ovo (Bdj com 30 ovos),unid,,,13575816
120920,25,1,5,8082,FIXED,Shimeji Branco,unid,,,13575816
120921,26,1,24.3,9066,FIXED,"Café moído ""O Rei Amarelo"" (250g)",unid,,,13575816
122944,1,1,0.95,9031,FIXED,Coentro (100g),unid,,,13604714
116087,1,1,2,16,FIXED,Acelga (Uni),unid,,,13512005
116088,2,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13512005
116089,3,1,1.89,280,FIXED,Couve (Maço),unid,,,13512005
116090,4,1,4.25,281,FIXED,Espinafre (Maço),unid,,,13512005
116091,5,1,2,220,FIXED,Repolho Verde (Uni),unid,,,13512005
116092,6,1,2.8,15,FIXED,Abobrinha Itália Pequena (Kg),unid,,,13512005
116093,7,1,2.99,274,FIXED,Berinjela (Kg),unid,,,13512005
116094,8,1,12.5,486,FIXED,Tomate Grape (Kg),unid,,,13512005
116095,9,1,5.49,323,FIXED,Tomate Salada Médio (Kg),unid,,,13512005
116096,10,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13512005
116097,11,1,5.89,270,FIXED,Banana Nanica (Kg),unid,,,13512005
116098,12,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13512005
116099,13,1,6.99,9078,FIXED,Maça Fuji Pequena (Kg),unid,,,13512005
116100,14,2,3.79,310,FIXED,Mamão Formosa (Uni),unid,,,13512005
116101,15,2,2.5,285,FIXED,Mamão Papaya (Uni),unid,,,13512005
116102,16,2,2.17,545,FIXED,Manga Palmer (Uni),unid,,,13512005
116103,17,1,5.2,287,FIXED,Maracujá (Kg),unid,,,13512005
116104,18,1,4.99,288,FIXED,Morango (Bdj),unid,,,13512005
116105,19,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13512005
116106,20,1,1.5,273,FIXED,Batata Doce Rosada Média (Kg),unid,,,13512005
116107,21,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13512005
116108,22,1,2,2024,FIXED,Salsinha (250g),unid,,,13512005
122945,2,1,2.5,2025,FIXED,Cebolinha (250g),unid,,,13604714
122946,3,1,1.28,2024,FIXED,Salsinha Maço (250g),unid,,,13604714
122947,4,2,2.18,265,FIXED,Agrião (Maço),unid,,,13604714
122948,5,4,1.6,9074,FIXED,Alface Americana (Uni),unid,,,13604714
122949,6,8,1.28,9075,FIXED,Alface lisa  (Uni),unid,,,13604714
122950,7,2,1.28,9076,FIXED,Escarola (UN),unid,,,13604714
121718,1,1,4.69,2009,FIXED,Mix de Folhas de Alface (180g),unid,,,13588900
121719,2,1,4.68,2008,FIXED,Rúcula Higienizada (180g),unid,,,13588900
121720,3,1,10.75,9081,FIXED,Tomate Holandês (Kg),unid,,,13588900
121721,4,1,5.49,260,FIXED,Tomate Salada Graúdo (Kg),unid,,,13588900
121722,5,1,4.89,271,FIXED,Banana Prata (Kg),unid,verde,,13588900
121723,6,1,4.6,283,FIXED,Limão Tahiti (Kg),unid,,,13588900
121724,7,2,1.05,65,FIXED,Maçã Fuji (Uni),unid,,,13588900
121725,8,1,3.79,310,FIXED,Mamão Formosa (Uni),unid,,,13588900
116213,1,1,2.5,9074,FIXED,Alface Americana (Uni),unid,,,13514509
116214,2,1,1.75,268,FIXED,Alho Poró (Uni),unid,,,13514509
116215,3,1,3.75,246,FIXED,Brócolis Ninja (Uni),unid,,,13514509
116216,4,1,1.89,280,FIXED,Couve (Maço),unid,,,13514509
116217,5,1,2.99,9038,FIXED,Pepino Comum (Kg),unid,,,13514509
116218,6,1,5.49,260,FIXED,Tomate Salada Graúdo (Kg),unid,,,13514509
116219,7,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13514509
116220,8,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13514509
116221,9,1,5.89,270,FIXED,Banana Nanica (Kg),unid,,,13514509
116222,10,1,4.6,283,FIXED,Limão Tahiti (Kg),unid,,,13514509
116223,11,2,2.5,317,FIXED,Pêra Portuguesa (Uni),unid,,,13514509
116224,12,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13514509
116225,13,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13514509
116226,14,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13514509
116227,15,1,1.99,21,FIXED,Batata Lavada (Kg),unid,,,13514509
116228,16,1,6.89,236,FIXED,Cebola Roxa Média (Kg),unid,,,13514509
118619,1,3,1.75,268,FIXED,Alho Poró (Uni),unid,,,13566789
118620,2,1,1.89,280,FIXED,Couve (Maço),unid,,,13566789
118621,3,1,4.25,281,FIXED,Espinafre (Maço),unid,,,13566789
118622,4,1,5.4,219,FIXED,Repolho Roxo (Uni),unid,,,13566789
118623,5,1,3.75,296,FIXED,Rúcula (Maço),unid,,,13566789
118624,6,2,3.51,9033,FIXED,Kit yakisoba (310 g),unid,,,13566789
118625,7,1,24,267,FIXED,Alho Descascado (Kg),unid,,,13566789
118626,8,1,7,263,FIXED,Abóbora Japonesa (Uni),unid,,,13566789
118627,9,1,2.8,15,FIXED,Abobrinha Itália Pequena (Kg),unid,,,13566789
118628,10,1,2.99,274,FIXED,Berinjela (Kg),unid,,,13566789
118629,11,2,12.5,486,FIXED,Tomate Grape (Kg),unid,,,13566789
118630,12,1,6.38,299,FIXED,Tomate Molho (Kg),unid,,,13566789
118631,13,1,3.85,308,FIXED,Abacate Comum (Uni),unid,,,13566789
118632,14,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13566789
118633,15,2,4.6,283,FIXED,Limão Tahiti (Kg),unid,,,13566789
118634,16,1,2.5,285,FIXED,Mamão Papaya (Uni),unid,,,13566789
118635,17,1,2.17,545,FIXED,Manga Palmer (Uni),unid,,,13566789
118636,18,3,1.5,9083,FIXED,Batata Doce Graúda (Kg),unid,,,13566789
118637,19,1,2.59,22,FIXED,Beterraba (Kg),unid,,,13566789
118638,20,1,3.79,276,FIXED,Cebola Graúda (Kg),unid,,,13566789
118639,21,1,6.89,236,FIXED,Cebola Roxa Média (Kg),unid,,,13566789
118640,22,1,3.39,316,FIXED,Cenoura Graúda (Kg),unid,,,13566789
118641,23,1,3.68,2025,FIXED,Cebolinha (250g),unid,,,13566789
118642,24,1,7.99,8092,FIXED,Champignon Fresco (200g),unid,,,13566789
118643,1,1,5.4,9037,FIXED,Beterraba Ralada (180 g),unid,,,13568125
118644,2,1,4.69,2009,FIXED,Mix de Folhas de Alface (180g),unid,,,13568125
118645,3,1,4.68,2008,FIXED,Rúcula Higienizada (180g),unid,,,13568125
118646,4,1,6.25,1010,FIXED,Couve Fatiada (250g),unid,,,13568125
118647,5,1,2.09,348,FIXED,Abobrinha Itália Graúda (Kg),unid,,,13568125
118648,6,1,12.5,486,FIXED,Tomate Grape (Kg),unid,,,13568125
118649,7,1,4.19,327,FIXED,Abacaxi Pérola (Uni),unid,,,13568125
118650,8,1,4.89,271,FIXED,Banana Prata (Kg),unid,,,13568125
118651,9,1,9,2054,FIXED,Kiwi (500g),unid,,,13568125
118652,10,3,1.05,65,FIXED,Maçã Fuji (Uni),unid,,,13568125
118653,11,1,2.17,545,FIXED,Manga Palmer (Uni),unid,,,13568125
118654,12,1,4.99,288,FIXED,Morango (Bdj),unid,,,13568125
118655,13,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13568125
118656,14,1,4.98,223,FIXED,Gengibre (500g),unid,,,13568125
118657,15,1,14.19,289,FIXED,Ovo (Bdj com 30 ovos),unid,,,13568125
118658,16,1,15.9,8088,FIXED,Cogumelo Shitake Inteiro (200g),unid,,,13568125
118659,17,1,21.79,0001,FIXED,Mel Silvestre (Vidro 330g),unid,,,13568125
121726,9,1,7.5,303,FIXED,Melão Amarelo (Uni),unid,,,13588900
121727,10,4,2.5,317,FIXED,Pêra Portuguesa (Uni),unid,,,13588900
121728,11,1,5.99,9060,FIXED,Uva sem semente roxa (500g),unid,,,13588900
121729,12,1,2.99,322,FIXED,Cebola Média (Kg),unid,,,13588900
121730,13,1,6.89,236,FIXED,Cebola Roxa Média (Kg),unid,,,13588900
121731,14,1,2,295,FIXED,Rabanete (500g),unid,,,13588900
